Shop,Shop_id,Categories,Food,Price,Remarks
,11,Iced Cappuccino,2,,
,11,Lime Juice,1.5,,
,11,Bandung,1.5,,
,11,Homemade Iced Lemon Tea,2,,
,11,Homemade Iced Honey Lemon,2,,
,11,Soft Drink,1.6,*specify which one under remarks?,
,11,Pure Drinking Water,1.2,,
,12,Soft Boiled Eggs (2 pcs),1.2,,
,12,Kaya Butter Bun,1.2,,
,12,Kaya Butter French Loaf,1.4,,
,12,Kaya Butter Traditional Toast,1.4,,
,12,Kaya Butter Bun Set A,2.7,,
,12,Kaya Butter French Loaf Set B,2.9,,
,12,Traditional Toast Set C,2.9,,
,12,Tuna+Ham Cheese Wholemeal Sandwich,1.6,,
,12,Waffle,1.8,,
,12,Waffle (additional topping),2.2,*specify which topping under remarks?,
,12,Tissue Paper,0.5,,
1,13,Single Shot Espresso,2,,
1,13,Double Shot Espresso,2.5,,
1,13,Americano,3.3,,
1,13,Cappucino,3.8,,
1,13,Caffe Latte,3.8,,
1,13,Vanilla Latte,5,,
1,13,Mocha Latte,5,,
1,13,Cinnamon Latte,5,,
1,13,Hazelnut Latte,5,,
1,13,English Black Tea,2.5,,
1,13,Artisanal Tea,4.5,,
2,14,Americano,3,,
2,14,Cappucino,3.5,,
2,14,Caffe Latte,3.5,,
2,14,Vanilla Latte,4.5,,
2,14,Mocha Latte,4.5,,
2,14,Cinnamon Latte,4.5,,
2,14,Hazelnut Latte,4.5,,
2,14,Lemon Tea,1.5,,
2,14,Lemonade,1.5,,
2,14,Very Berry Smoothie,4.5,,
2,14,Strawberry Banana Smoothie,4.5,,
2,14,Passionfruit Mango Smoothie,4.5,,
2,14,Peach Smoothie,4.5,,
3,15,Mac N' Cheese,4.5,Additional $1 for Bacon OR Ham,
4,16,Fish N' Chips,6,Additional $0.60 for Lemonade,
4,16,Cutlet of the Day with Fries,6,Additional $0.60 for Lemonade,
5,17,Hashbrown,1,,
5,17,Sotong Ball,1.5,,
5,17,Breaded Scallops,1.5,,
5,17,Chicken Nuggets,1.5,,
5,17,Chicken Wing,1.5,,
5,17,Crispy Chicken,1.8,,
5,17,Bacon Wrap,2.3,,
5,17,Fries,2,,
5,17,Truffle Fries,4.5,,
6,18,Bacon Aglio,4.8,"Additional $1 for Prawns, Bacon, Sausage OR Mushroom",
6,18,Chicken Sausage Aglio,4.8,"Additional $1 for Prawns, Bacon, Sausage OR Mushroom",
6,18,Mushroom Aglio,4.8,"Additional $1 for Prawns, Bacon, Sausage OR Mushroom",
6,18,Bacon Cream,4.8,"Additional $1 for Prawns, Bacon, Sausage OR Mushroom",
6,18,Carbonara,4.8,"Additional $1 for Prawns, Bacon, Sausage OR Mushroom",
6,18,Chicken Sausage Cream,4.8,"Additional $1 for Prawns, Bacon, Sausage OR Mushroom",
6,18,Mushroom Cream,4.8,"Additional $1 for Prawns, Bacon, Sausage OR Mushroom",
6,18,Beef Bolognese,4.8,"Additional $1 for Prawns, Bacon, Sausage OR Mushroom",
6,18,Mushroom & Basil,4.8,"Additional $1 for Prawns, Bacon, Sausage OR Mushroom",
6,18,Prawn Aglio,5,"Additional $1 for Prawns, Bacon, Sausage OR Mushroom",
